country,product_desc,city,source,buyer_name,hs_code,email
GH,cosmetics,Accra,KOTRA_SNS,Global motors and trading company Ltd,330499.0,
ZA,Make up & skincare,Johannesburg,KOTRA_SNS,A Humble Hunnii,330499.0,
KE,Cosmetics,Nairobi,KOTRA_SNS,Deniz International Ltd,330499.0,
KE,cosrx,Nairoba,KOTRA_SNS,Am building my own empire,330499.0,
KE,"Beauty, lipstick",Nairobi,KOTRA_SNS,Zindika ZaAfrika Heritage,330430.0,
NG,cosmetics,Lagos,KOTRA_SNS,Lagos Computerised Vehicle Inspection Service,330499.0,
DK,Cosmetics,rslev,KOTRA_SNS,Lomax,330499.0,
RO,Facial and make up,Bucharest,KOTRA_SNS,20 ani experien,330491.0,
RS,Cosmetics,Belgrade,KOTRA_SNS,Klinicki centar Srbije,330790.0,
BG,make up,Varna,KOTRA_SNS,Smiling Feet Fish Spa,330499.0,
BE,lipstick,Antwerp,KOTRA_SNS,geen company,330499.0,
SK,skincare cosmetics goods,Vranov,KOTRA_SNS,Anna Sotikova,330499.0,
GR,cosmetics,Mgara,KOTRA_SNS,Teaching DegreeLink,330420.0,
PL,Cosmetic,Warsaw,KOTRA_SNS,Quality packers,330499.0,
RO,Cosmetics and make up,Urziceni,KOTRA_SNS,Hotel Royal I Urziceni,330499.0,
CZ,Cosmetics,Brno,KOTRA_SNS,Krlovstv krsy s.r.o.,330499.0,
GR,cosmetics,Thessalonki,KOTRA_SNS,Εγ,330499.0,
PT,cosmetic,Sesimbra,KOTRA_SNS,Gabinete Esttica Snia Coelho,330499.0,
NL,lipstick and lipgloss,Rotterdam,KOTRA_SNS,Kruidvat,330410.0,
BE,Make up,Broechem,KOTRA_SNS,Nendo Addicts,330491.0,
CZ,Cosmetics,Praha,KOTRA_SNS,Royal Bridal,330300.0,
PT,Cosmetics,Funchal,KOTRA_SNS,Personal Brand,330420.0,
PT,Cosmetic,Peniche,KOTRA_SNS,Entrechurrascos,330790.0,
US,Cosmetics & more,Wilmington,KOTRA_SNS,OVERHEAT,330499.0,
GB,Beauty,London,KOTRA_SNS,Luminosa,330499.0,
HR,"Foundation,lipstick,bronzer,shimmer",Copenhagen,KOTRA_SNS,Interworld Italia Srls,330499.0,
